state,total,pre-1943,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
AK,,,,,,,,,,,,,,,,,,,,,,,
AL,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,,,,,,,,,,,,,,,,,,,,,,,
AS,,,,,,,,,,,,,,,,,,,,,,,
AZ,30,20,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0
CA,20108,16553,459,387,436,480,401,326,381,275,150,39,23,27,25,23,13,13,12,18,24,26,17
CO,,,,,,,,,,,,,,,,,,,,,,,
CT,557,457,31,2,1,0,6,8,10,2,3,5,5,2,3,7,2,2,1,2,0,5,3
DC,,,,,,,,,,,,,,,,,,,,,,,
DE,945,641,17,27,20,29,15,34,19,13,7,33,4,0,0,12,8,1,0,9,9,22,25
FL,,,,,,,,,,,,,,,,,,,,,,,
GA,3284,190,97,73,90,68,24,94,167,226,200,279,246,207,261,268,268,142,112,148,60,57,7
HI,,,,,,,,,,,,,,,,,,,,,,,
IA,1910,493,58,46,52,45,70,127,165,113,178,70,85,72,47,69,48,21,14,28,51,28,30
ID,38,14,0,0,0,0,0,0,0,0,0,5,8,4,2,0,0,0,0,1,2,0,2
IL,,,,,,,,,,,,,,,,,,,,,,,
IN,2424,1231,55,74,122,192,89,77,49,71,60,37,55,85,94,34,29,17,7,14,9,11,12
KS,3032,2706,88,57,32,71,29,18,0,24,0,0,0,0,0,0,0,0,0,0,7,0,0
KY,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,
ME,326,217,1,0,2,9,3,3,3,6,4,5,8,17,26,1,5,4,4,2,3,2,1
MI,3786,2388,78,107,86,75,117,131,88,72,65,81,103,71,61,27,47,39,27,18,46,26,33
MN,2350,2111,46,34,13,2,1,4,8,12,15,16,13,10,9,19,12,8,6,5,5,1,0
MO,,,,,,,,,,,,,,,,,,,,,,,
MS,683,542,4,8,9,19,11,3,0,0,0,0,0,0,0,6,13,22,15,13,3,8,7
MT,256,208,5,0,2,15,6,5,8,0,3,2,0,2,0,0,0,0,0,0,0,0,0
NC,6297,1346,152,107,117,105,139,186,249,295,375,326,270,300,289,216,305,318,260,234,248,220,240
ND,1049,628,43,13,21,29,17,33,23,23,42,22,37,0,16,14,14,9,22,12,16,15,0
NE,902,530,79,23,16,13,7,20,16,19,19,37,27,23,15,8,5,4,10,6,10,5,10
NH,679,468,24,19,20,9,6,11,14,17,23,18,21,8,4,8,8,0,1,0,0,0,0
NJ,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,,,,,,,
NY,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,,,,,,,,,,,,,,,,,,,,,,,
OK,556,553,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
OR,2341,1597,57,24,21,49,30,43,32,60,42,72,59,25,38,28,23,14,40,19,24,21,23
PA,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,
SC,277,57,17,3,0,0,0,4,7,12,10,3,7,8,30,43,34,11,6,7,3,6,9
SD,789,643,3,7,10,24,46,12,3,5,4,4,8,6,2,2,4,3,1,1,0,0,1
TN,,,,,,,,,,,,,,,,,,,,,,,
TX,,,,,,,,,,,,,,,,,,,,,,,
UT,764,310,69,16,22,56,58,16,14,34,30,46,16,13,9,15,12,5,7,16,0,0,0
VA,7162,4472,203,105,178,152,122,134,215,204,207,153,169,171,111,87,128,114,69,61,39,29,39
VT,253,225,3,4,8,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
WA,685,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,1796,1372,48,47,58,24,35,46,28,42,22,12,16,14,0,1,7,0,0,8,2,6,8
WV,98,47,1,0,0,0,0,0,0,0,0,0,0,14,33,3,0,0,0,0,0,0,0
WY,,,,,,,,,,,,,,,,,,,,,,,
