Date,City,State,AreaType,School,Fatalities,Wounded,Source,Desc,Year,Lat,Lon
3/27/1990,Brooklyn,New York,,College,0,1,Wikp,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.",1990,40.6781784,-73.9441579
5/20/1990,Centerville,Tennessee,suburban,High School,1,,Pah,,1990,35.7789565,-87.4669587
8/26/1990,Las Vegas,Nevada,urban,High School,1,,Pah,,1990,36.1699412,-115.1398296
9/11/1990,San Antonio,Texas,,High School,0,3,Wikp,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. Three male students were arrested and charged.",1990,29.4241219,-98.4936282
1/8/1991,Richardson,Texas,urban,High School,0,,Pah,,1991,32.9483335,-96.7298519
2/6/1991,Donna,Texas,,High School,1,0,Wikp,A 15-year-old shot himself dead while playing Russian roulette inside a biology classroom at Donna High School.,1991,26.1702,-98.0522
4/23/1991,Compton,California,,Middle School,1,0,Wikp,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.",1991,33.8958492,-118.2200712
9/18/1991,Crosby,Texas,,High School,1,0,Wikp,"17-year-old Arthur Jermel Jack, was killed by A 15-year-old student, in the cafeteria at Crosby High School.",1991,29.9118885,-95.0621512
10/8/1991,Bronx,New York,urban,High School,1,,Pah,,1991,40.8447819,-73.8648268
11/1/1991,Iowa City,Iowa,,College,6,1,Wikp,"University of Iowa shooting: A 28-year-old former graduate student killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. The shooter then shot himself in the head, he died shortly after police arrived.",1991,41.6611277,-91.5301683
