Location,Abbreviation,stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gathering_bans,state_mandated_school_closures,bar_restaurant_limits,primary_election_postponement,Emergency Declaration,footnotes,score
Alabama,AL,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration,,
Alaska,AK,Statewide (38); High-Risk Groups (3); Other (1); Expired (3); No Action (6),All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29),All Non-Essential Businesses (25); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (14); Open with Reduced Capacity (2); No Action (6),All Gatherings Prohibited (15); >10 Prohibited (26); 20+ Prohibited (1); Other (4); Expired (2); No Action (3),Closed (12); Closed for School Year (32); Recommended Closure (1); Recommended Closure for School Year (6),Closed Except for Takeout/Delivery (44); Limited On-Site Service (5); Other (1); No Action (1),Postponed (14); Canceled (1); No (36),Yes (51); No (0),,
Arizona,AZ,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,,8
Arkansas,AR,Expired*,All Travelers,Certain Non-Essential Businesses*,20+ People Prohibited*,Closed for School Year,Limited On-Site Service*,-,Yes,,10
California,CA,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,1,8
Colorado,CO,-,-,-,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,,3
Connecticut,CT,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,-,Yes,"2, 3",9
Delaware,DE,High-Risk Groups*,-,Open with Reduced Capacity*,>10 People Prohibited*,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,,8
District of Columbia,DC,Statewide,-,All Non-Essential Businesses,Other,Closed,Closed Except for Takeout/Delivery,Postponed,Yes,,10
Florida,FL,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,Yes,4,11
Georgia,GA,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,5,7
Hawaii,HI,Statewide,From Certain States,All Non-Essential Businesses,Other,Recommended Closure for School Year,Closed Except for Takeout/Delivery,-,Yes,,8
Idaho,ID,Statewide,-,Certain Non-Essential Businesses*,>10 People Prohibited,Closed for School Year,Limited On-Site Service*,Postponed,Yes,,6
Illinois,IL,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes,,10
Indiana,IN,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Recommended Closure,Closed Except for Takeout/Delivery,-,Yes,,9
Iowa,IA,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Closed,Closed Except for Takeout/Delivery,-,Yes,5,9
