State,Abbreviation,firstCaseDate,firstCountyDetected,stateOfEmergency,stayAtHome,DifFirstCaseStayHome,LessThan2Weeks,1/21/2020c,1/21/2020d,1/22/2020c,1/22/2020d,1/23/2020c,1/23/2020d,1/24/2020c,1/24/2020d,1/25/2020c,1/25/2020d,1/26/2020c,1/26/2020d,1/27/2020c,1/27/2020d,1/28/2020c,1/28/2020d,1/29/2020c,1/29/2020d,1/30/2020c,1/30/2020d,1/31/2020c,1/31/2020d,2/1/2020c,2/1/2020d,2/2/2020c,2/2/2020d,2/3/2020c,2/3/2020d,2/4/2020c,2/4/2020d,2/5/2020c,2/5/2020d,2/6/2020c,2/6/2020d,2/7/2020c,2/7/2020d,2/8/2020c,2/8/2020d,2/9/2020c,2/9/2020d,2/10/2020c,2/10/2020d,2/11/2020c,2/11/2020d,2/12/2020c,2/12/2020d,2/13/2020c,2/13/2020d,2/14/2020c,2/14/2020d,2/15/2020c,2/15/2020d,2/16/2020c,2/16/2020d,2/17/2020c,2/17/2020d,2/18/2020c,2/18/2020d,2/19/2020c,2/19/2020d,2/20/2020c,2/20/2020d,2/21/2020c,2/21/2020d,2/22/2020c,2/22/2020d,2/23/2020c,2/23/2020d,2/24/2020c,2/24/2020d,2/25/2020c,2/25/2020d,2/26/2020c,2/26/2020d,2/27/2020c,2/27/2020d,2/28/2020c,2/28/2020d,2/29/2020c,2/29/2020d,3/1/2020c,3/1/2020d,3/2/2020c,3/2/2020d,3/3/2020c,3/3/2020d,3/4/2020c,3/4/2020d,3/5/2020c,3/5/2020d,3/6/2020c,3/6/2020d,3/7/2020c,3/7/2020d,3/8/2020c,3/8/2020d,3/9/2020c,3/9/2020d,3/10/2020c,3/10/2020d,3/11/2020c,3/11/2020d,3/12/2020c,3/12/2020d,3/13/2020c,3/13/2020d,3/14/2020c,3/14/2020d,3/15/2020c,3/15/2020d,3/16/2020c,3/16/2020d,3/17/2020c,3/17/2020d,3/18/2020c,3/18/2020d,3/19/2020c,3/19/2020d,3/20/2020c,3/20/2020d,3/21/2020c,3/21/2020d,3/22/2020c,3/22/2020d,3/23/2020c,3/23/2020d,3/24/2020c,3/24/2020d,3/25/2020c,3/25/2020d,3/26/2020c,3/26/2020d,3/27/2020c,3/27/2020d,3/28/2020c,3/28/2020d,3/29/2020c,3/29/2020d,3/30/2020c,3/30/2020d,3/31/2020c,3/31/2020d,4/1/2020c,4/1/2020d,4/2/2020c,4/2/2020d,4/3/2020c,4/3/2020d,4/4/2020c,4/4/2020d,4/5/2020c,4/5/2020d,4/6/2020c,4/6/2020d,4/7/2020c,4/7/2020d
Alabama,AL,3/13/2020,Elmore,3/13/2020,4/4/2020,22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,23,0,29,0,39,0,51,0,78,0,106,0,131,0,157,0,196,0,242,0,386,1,538,3,639,4,720,4,830,5,947,11,999,13,1106,28,1270,32,1535,38,1633,44,1841,45,2006,53,2197,64
Alaska,AK,3/12/2020,Anchorage,3/11/2020,3/28/2020,16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,6,0,9,0,12,0,14,0,21,0,22,0,36,0,42,0,59,0,69,0,85,1,102,1,114,1,119,2,133,2,143,2,146,2,156,2,169,3,185,4,189,4,211,4
Arizona,AZ,1/26/2020,Maricopa,3/11/2020,3/31/2020,65,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,3,0,5,0,5,0,6,0,6,0,9,0,9,0,9,0,12,0,13,0,18,0,20,0,28,0,47,0,70,1,104,1,153,2,234,2,326,6,402,6,508,8,665,15,773,15,929,18,1169,20,1298,24,1413,29,1600,35,1769,41,2019,53,2269,64,2465,67,2575,77
Arkansas,AR,3/11/2020,Jefferson,3/11/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,7,0,9,0,16,0,22,0,22,0,33,0,62,0,100,0,118,0,165,0,201,0,232,2,308,2,351,3,386,3,409,5,449,6,508,7,564,8,624,10,683,12,738,12,743,14,853,16,927,16,997,18
California,CA,1/25/2020,Orange,3/4/2020,3/19/2020,54,FALSE,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,0,9,0,9,0,9,0,11,0,11,0,26,0,26,0,27,0,28,0,33,0,38,0,45,0,55,1,67,1,81,1,100,1,112,1,172,2,179,3,202,4,252,4,320,5,381,5,478,6,588,11,732,14,893,17,1067,19,1283,24,1544,28,1851,35,2240,39,2644,52,3183,67,4060,82,4914,102,5565,121,6266,130,7421,146,8582,183,9816,212,11190,247,12569,282,13796,323,15076,349,16284,386,17540,447
Colorado,CO,3/5/2020,Douglas,3/10/2020,3/26/2020,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,8,0,8,0,12,0,17,0,34,0,49,1,78,2,103,2,136,2,161,2,183,3,216,3,278,5,364,5,475,6,591,7,721,10,912,11,1086,19,1432,24,1735,31,2061,44,2315,47,2628,51,2990,69,3346,80,3728,96,4182,110,4574,126,4950,140,5172,150,5429,179
Connecticut,CT,3/8/2020,Fairfield,3/10/2020,3/23/2020,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,6,0,11,0,20,0,26,0,41,0,68,0,96,1,159,4,194,4,223,5,327,8,415,10,618,12,875,19,1012,21,1291,27,1524,33,1993,34,2571,36,3128,69,3557,85,3824,112,4915,132,5276,165,5675,189,6906,206,7781,277
Delaware,DE,3/11/2020,New Castle,3/12/2020,3/24/2020,13,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,4,0,7,0,8,0,16,0,26,0,30,0,39,0,45,0,56,0,87,0,104,0,119,0,143,1,165,2,214,5,232,6,264,7,319,10,368,11,393,12,450,14,593,14,673,14,783,15,928,16
District of Columbia,DC,3/7/2020,District of Columbia,3/11/2020,3/30/2020,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,4,0,10,0,10,0,10,0,16,0,17,0,22,0,31,0,36,0,68,0,77,1,98,1,116,2,138,2,183,2,231,3,267,3,304,4,342,4,342,4,495,9,495,9,586,11,653,12,757,15,902,21,998,22,1097,24,1211,22
Florida,FL,3/1/2020,Hillsborough,3/1/2020,4/3/2020,33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,4,0,7,2,12,2,13,2,14,2,23,2,26,2,46,2,70,2,70,3,109,3,141,4,210,6,326,7,434,8,564,9,764,11,1000,13,1222,18,1467,19,1965,23,2477,29,3198,46,4038,56,4942,59,5694,71,6741,85,7765,100,9000,144,10260,169,11537,194,12342,220,13621,253,14739,295
